sw,hw,q1,takes,t_open,t_pass1,t1,score1,t_pass2,t2,ttime,score2,fscore
10,65,70,2,0.55,0.590972222,0.040972222,60,0.600694444,0.009722222,0.050694444,50,55
97.5,97.5,93.75,2,0.528472222,0.554166667,0.025694444,40,0.64375,0.089583333,0.115277778,60,50
100,72.5,87.5,2,0.596527778,0.623611111,0.027083333,65,0.633333333,0.009722222,0.036805556,60,62.5
97.5,75,71.875,2,0.465972222,0.480555556,0.014583333,20,0.498611111,0.018055556,0.032638889,20,20
100,52.5,81.25,2,0.659027778,0.683333333,0.024305556,60,0.693055556,0.009722222,0.034027778,35,47.5
0,0,87.5,2,0.517361111,0.575694444,0.058333333,50,0.626388889,0.050694444,0.109027778,80,65
97.5,93.75,71.875,2,0.575,0.66875,0.09375,40,0.70625,0.0375,0.13125,85,62.5
77.5,100,71.875,2,0.520138889,0.5625,0.042361111,60,0.676388889,0.113888889,0.15625,100,80
75,100,87.5,2,0.593055556,0.611111111,0.018055556,80,0.621527778,0.010416667,0.028472222,80,80
97.5,100,87.5,2,0.524305556,0.657638889,0.133333333,0,0.675,0.017361111,0.150694444,80,40
0,91.25,71.875,2,0.6375,0.640277778,0.002777778,90,0.65,0.009722222,0.0125,100,95
100,100,71.875,2,0.479166667,0.519444444,0.040277778,70,0.577083333,0.057638889,0.097916667,80,75
97.5,97.5,71.875,2,0.492361111,0.540277778,0.047916667,20,0.619444444,0.079166667,0.127083333,100,60
100,95,76,2,0.534027778,0.553472222,0.019444444,25,0.64375,0.090277778,0.109722222,30,27.5
100,97.5,81.25,1,0.594444444,0.623611111,0.029166667,95,0.623611111,0,0.029166667,95,95
95,85,71.875,2,0.666666667,0.677083333,0.010416667,60,0.684722222,0.007638889,0.018055556,100,80
100,98.75,87.5,2,0.5875,0.634027778,0.046527778,60,0.642361111,0.008333333,0.054861111,100,80
100,100,77.5,2,0.527083333,0.66875,0.141666667,30,0.686111111,0.017361111,0.159027778,20,25
97.5,97.5,71.875,2,0.5375,0.543055556,0.005555556,65,0.597916667,0.054861111,0.060416667,60,62.5
100,100,100,2,0.544444444,0.561805556,0.017361111,45,0.632638889,0.070833333,0.088194444,80,62.5
97.5,100,75,2,0.510416667,0.653472222,0.143055556,60,0.672916667,0.019444444,0.1625,50,55
100,100,92.5,2,0.527083333,0.553472222,0.026388889,40,0.642361111,0.088888889,0.115277778,80,60
100,96.25,86,2,0.60625,0.642361111,0.036111111,60,0.652777778,0.010416667,0.046527778,80,70
97.5,98.75,73.4375,1,0.653472222,0.704861111,0.051388889,80,0.704861111,0,0.051388889,80,80
100,97.5,81.25,2,0.675694444,0.698611111,0.022916667,40,0.702083333,0.003472222,0.026388889,0,20
0,72.5,70,2,0.459722222,0.493055556,0.033333333,45,0.547916667,0.054861111,0.088194444,90,67.5
100,97.5,100,2,0.592361111,0.618055556,0.025694444,45,0.622222222,0.004166667,0.029861111,100,72.5
100,100,73.4375,1,0.492361111,0.572222222,0.079861111,85,0.572222222,0,0.079861111,85,85
87.5,75,75,2,0.56875,0.584722222,0.015972222,20,0.651388889,0.066666667,0.082638889,80,50
100,95,87.5,2,0.588888889,0.631944444,0.043055556,60,0.639583333,0.007638889,0.050694444,100,80
95,100,71.875,2,0.482638889,0.608333333,0.125694444,50,0.622916667,0.014583333,0.140277778,80,65
86.25,97.5,71.875,2,0.4875,0.592361111,0.104861111,45,0.601388889,0.009027778,0.113888889,80,62.5
100,100,73.4375,1,0.497222222,0.586111111,0.088888889,100,0.586111111,0,0.088888889,100,100
97.5,100,78.5,1,0.574305556,0.627083333,0.052777778,80,0.627083333,0,0.052777778,80,80
100,100,100,1,0.467361111,0.61875,0.151388889,100,0.61875,0,0.151388889,100,100
100,100,86,2,0.50625,0.624305556,0.118055556,40,0.636805556,0.0125,0.130555556,90,65
97.5,100,75,2,0.494444444,0.545138889,0.050694444,25,0.623611111,0.078472222,0.129166667,100,62.5
100,97.5,99.75,1,0.647222222,0.668055556,0.020833333,50,0.668055556,0,0.020833333,50,50
100,91.25,87.5,2,0.492361111,0.549305556,0.056944444,50,0.573611111,0.024305556,0.08125,100,75
100,100,76,1,0.492361111,0.568055556,0.075694444,80,0.568055556,0,0.075694444,80,80
