MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,WIND SPEED,WIND DIRECTION
,,mm,°C,°C,°C,m/s,degrees
1,1,0,31.9,23.6,27.8,3,80
1,2,0,31,24.6,27.8,2,70
1,3,0,32.5,25.2,28.9,3,80
1,4,T,31.3,24.2,27.8,2,100
1,5,0.5,29.7,22.8,26.2,2,110
1,6,0,32.2,22.8,27.5,3,100
1,7,0,31.9,21.9,26.9,3,90
1,8,0,29.6,22.8,26.2,2,80
1,9,0,31.4,25.5,28.5,2,100
1,10,25,28.2,24.5,26.4,2,130
1,11,-2,28.9,24,26.5,2,130
1,12,0,29.8,23.1,,2,280
1,13,0,32.1,24.5,,2,110
1,14,T,30.1,24.2,,2,110
1,15,T,29.6,25,27.3,2,100
1,16,0,28.8,23.5,26.2,3,120
1,17,0,30.4,24.4,27.4,4,110
1,18,0,31.2,23.2,27.2,3,100
1,19,0,30.3,23.4,26.9,2,120
1,20,0,29.6,23.3,26.5,2,110
1,21,0,31.5,23.3,27.4,2,100
1,22,3.5,30.4,24,27.2,2,70
1,23,5,30,22.5,26.3,4,90
1,24,4,28.4,22.8,25.6,3,90
1,25,T,29.9,23.6,26.8,3,90
1,26,0.5,29.1,22.7,25.9,2,100
1,27,0,29.7,22,25.9,2,100
1,28,T,29.7,23,26.4,3,100
1,29,0,31,24.4,27.7,2,10
1,30,0,31.6,25.3,28.5,2,260
1,31,0.5,31.6,24.8,28.2,2,260
