YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,WIND SPEED,WIND DIRECTION
,,,mm,°C,°C,°C,m/s,degrees
2017,1,1,0,31.9,23.6,27.8,3,80
2017,1,2,0,31,24.6,27.8,2,70
2017,1,3,0,32.5,25.2,28.9,3,80
2017,1,4,T,31.3,24.2,27.8,2,100
2017,1,5,0.5,29.7,22.8,26.2,2,110
2017,1,6,0,32.2,22.8,27.5,3,100
2017,1,7,0,31.9,21.9,26.9,3,90
2017,1,8,0,29.6,22.8,26.2,2,80
2017,1,9,0,31.4,25.5,28.5,2,100
2017,1,10,25,28.2,24.5,26.4,2,130
2017,1,11,-2,28.9,24,26.5,2,130
2017,1,12,0,29.8,23.1,,2,280
2017,1,13,0,32.1,24.5,,2,110
2017,1,14,T,30.1,24.2,,2,110
2017,1,15,T,29.6,25,27.3,2,100
2017,1,16,0,28.8,23.5,26.2,3,120
2017,1,17,0,30.4,24.4,27.4,4,110
2017,1,18,0,31.2,23.2,27.2,3,100
2017,1,19,0,30.3,23.4,26.9,2,120
2017,1,20,0,29.6,23.3,26.5,2,110
2017,1,21,0,31.5,23.3,27.4,2,100
2017,1,22,3.5,30.4,24,27.2,2,70
2017,1,23,5,30,22.5,26.3,4,90
2017,1,24,4,28.4,22.8,25.6,3,90
2017,1,25,T,29.9,23.6,26.8,3,90
2017,1,26,0.5,29.1,22.7,25.9,2,100
2017,1,27,0,29.7,22,25.9,2,100
2017,1,28,T,29.7,23,26.4,3,100
2017,1,29,0,31,24.4,27.7,2,10
2017,1,30,0,31.6,25.3,28.5,2,260
2017,1,31,0.5,31.6,24.8,28.2,2,260
2017,2,1,8,32.6,24.3,28.5,2,120
2017,2,2,3,29.8,23.9,26.9,2,100
2017,2,3,T,30.1,21.9,26,2,110
2017,2,4,0,30.2,22.6,26.4,3,110
2017,2,5,0,31.5,23.1,27.3,2,140
2017,2,6,T,29.3,23.4,26.4,3,100
2017,2,7,0,32.1,23.5,27.8,3,90
2017,2,8,0,29.8,22.9,26.4,2,270
2017,2,9,T,30.9,23.9,27.4,3,120
2017,2,10,0,30.6,23,26.8,2,110
2017,2,11,T,30,23.5,26.8,4,80
2017,2,12,0,28.6,22.5,25.6,3,120
2017,2,13,T,27.5,20.9,24.2,3,100
2017,2,14,0,29.3,21.1,25.2,4,60
2017,2,15,0,29.8,21.1,25.5,3,70
2017,2,16,0,30.4,22.5,26.5,3,110
2017,2,17,0,29.8,24.5,27.2,2,120
2017,2,18,20.5,28.5,23.6,26.1,1,70
2017,2,19,T,27.6,23.4,25.5,3,130
2017,2,20,0,31.5,25.7,28.6,4,110
2017,2,21,0,32.7,23.3,28,4,110
2017,2,22,0,32.5,23.5,28,3,110
2017,2,23,0,32.4,25.4,28.9,2,130
2017,2,24,0,32.9,24.8,28.9,3,110
2017,2,25,0,32.6,25.2,28.9,3,120
2017,2,26,0,32,25.5,28.8,3,110
2017,2,27,0,32.6,24.4,28.5,4,110
2017,2,28,T,31.9,23.9,,4,100
2017,3,1,0,32,24.7,,2,130
2017,3,2,0.5,30.3,25,27.7,2,110
2017,3,3,1.5,30.1,23.6,26.9,2,110
2017,3,4,T,29.5,23.3,26.4,3,80
2017,3,5,0,31.9,22,27,4,120
2017,3,6,0,32.8,22.6,27.7,2,130
2017,3,7,0,32.6,23.4,28,2,120
